GeneSymbol,DiseaseName,UniProtID
TP53,"Infertility, Male",P04637
TP53,Ischemia,P04637
TP53,Keratosis,P04637
TP53,"Leukemia, Lymphocytic, Chronic, B-Cell",P04637
TP53,"Leukemia, Megakaryoblastic, of Down Syndrome",P04637
TP53,Li-Fraumeni Syndrome,P04637
TP53,"Liver Diseases, Parasitic",P04637
TP53,Liver Neoplasms,P04637
TP53,"Liver Neoplasms, Experimental",P04637
TP53,Lung Neoplasms,P04637
TP53,"Lymphoma, T-Cell",P04637
TP53,"Lymphoma, T-Cell, Cutaneous",P04637
TP53,Melanoma,P04637
TP53,"Mesothelioma, Malignant",P04637
TP53,Mitochondrial Diseases,P04637
TP53,Mouth Neoplasms,P04637
TP53,Myelodysplastic Syndromes,P04637
TP53,Myeloproliferative Disorders,P04637
TP53,Nasopharyngeal Carcinoma,P04637
TP53,Neoplasm Metastasis,P04637
TP53,Osteosarcoma,P04637
TP53,Ovarian Neoplasms,P04637
TP53,Pancreatic Neoplasms,P04637
TP53,"Papilloma, Choroid Plexus",P04637
TP53,Penile Neoplasms,P04637
TP53,Polyploidy,P04637
TP53,Precursor Cell Lymphoblastic Leukemia-Lymphoma,P04637
TP53,Prostatic Neoplasms,P04637
TP53,Psoriasis,P04637
TP53,"Pulmonary Disease, Chronic Obstructive",P04637
TP53,Sarcoma,P04637
TP53,Schizophrenia,P04637
TP53,Sezary Syndrome,P04637
TP53,Skin Neoplasms,P04637
TP53,Small Cell Lung Carcinoma,P04637
TP53,Squamous Cell Carcinoma of Head and Neck,P04637
TP53,Stomach Neoplasms,P04637
TP53,Thymoma,P04637
TP53,Thyroid Neoplasms,P04637
TP53,Urinary Bladder Neoplasms,P04637
TP53,Urogenital Neoplasms,P04637
TP53,Urologic Neoplasms,P04637
TP53,Vulvar Lichen Sclerosus,P04637
TP53,Wilms Tumor,P04637
